1	我們試試看！	415128	Essayons !
1	我們試試看！	529852	Essayons.
2	我该去睡觉了。	373908	Je dois aller dormir.
3	你在干什麼啊？	3093	Qu'est-ce que tu fais ?
3	你在干什麼啊？	334351	Que fais-tu ?
3	你在干什麼啊？	1037587	Tu fais quoi ?
4	這是什麼啊？	3094	Qu'est-ce que c'est ?
5	今天是６月１８号，也是Muiriel的生日！	3095	Aujourd'hui nous sommes le 18 juin et c'est l'anniversaire de Muiriel !
5	今天是６月１８号，也是Muiriel的生日！	696081	Aujourd'hui c'est le 18 juin, et c'est l'anniversaire de Muiriel.
6	生日快乐，Muiriel！	3096	Joyeux anniversaire Muiriel !
6	生日快乐，Muiriel！	355044	Bon anniversaire, Muiriel  !
7	Muiriel现在20岁了。	3097	Muiriel a 20 ans maintenant.
8	密码是"Muiriel"。	3098	Le mot de passe est « Muiriel ».
9	我很快就會回來。	3099	Je serai bientôt de retour.
10	我不知道。	3100	Je ne sais pas.
10	我不知道。	435926	Je ne le sais pas.
11	我不知道應該說什麼才好。	3101	J'en perds mes mots.
12	這個永遠完不了了。	3102	Ça ne va jamais finir.
13	我只是不知道應該說什麼而已……	3103	Je ne sais simplement pas quoi dire...
14	那是一隻有惡意的兔子。	3104	C’était un méchant lapin.
15	我以前在山里。	3105	J'étais dans les montagnes.
16	那是一张近照吗？	3106	Est-ce que c'est une photo récente ?
17	我不知道我有沒有時間。	3107	Je ne sais pas si j'ai le temps.
18	剛才我的麥克風沒起作用，不知道為什麼。	3108	Pour une certaine raison le microphone ne marchait pas tout à l'heure.
19	到了最後，大家一定要靠自己學習。	3109	Tout le monde doit apprendre par soi-même en fin de compte.
20	世界上的教育都讓我失望。	3110	L'éducation dans ce monde me déçoit.
21	选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。	3112	C'est une tâche difficile, choisir ce qui est « bon » ou « mauvais », mais il faut le faire.
22	這樣做的話什麼都不會改變的。	3113	Ça ne changera rien.
23	這個要三十歐元。	3114	Ça coûtera 30 €.
24	我一天賺一百歐元。	3115	Je gagne 100 € par jour.
25	也许我会马上放弃然后去打盹。	3116	Il se peut que j'abandonne bientôt et fasse une sieste à la place.
26	那是不會發生的。	3118	Ça n'arrivera pas.
27	我会尽量不打扰你复习。	3120	Je ferai de mon mieux pour ne pas perturber tes révisions.
28	不要擔心。	3123	Ne t'inquiète pas.
28	不要擔心。	465948	T'inquiète.
28	不要擔心。	495009	Ne t'en fais pas.
29	我很想你。	3124	Tu me manques.
30	我明天回來的時候會跟他們聯絡。	3125	Je les appellerai demain quand je reviendrai.
31	我一直都比較喜歡神秘一點的人物。	3126	J'ai toujours plus apprécié les personnages mystérieux.
32	你應該去睡覺了吧。	3127	Tu devrais dormir.
33	我要走了。	378541	Je vais y aller.
34	我請他們再寄給我一張票。	3129	Je leur ai dit de m'envoyer un autre ticket.
35	我不能这样活着。	3131	Je ne peux pas vivre comme ça.
35	我不能这样活着。	919151	Je ne peux pas vivre ainsi.
36	我曾經想過當個太空物理學家。	3132	Il fut un temps où je voulais être astrophysicien.
37	我從來沒喜歡過生物學。	3133	Je n'ai jamais aimé la biologie.
38	可惜这是真的。	3136	C'est malheureusement vrai.
39	大部份的人覺得我瘋了。	3138	La plupart des gens pensent que je suis fou.
40	不，我不是！你才是！	3139	Non je ne le suis pas, c'est toi qui l'es !
40	不，我不是！你才是！	529971	Non, ce n'est pas moi, c'est toi !
41	那是我該說的話!	3140	C'est ma réplique !
42	他在踢我！	3141	Il me donne des coups de pied !
42	他在踢我！	465174	Il me donne des coups de pied ! !
43	你肯定吗？	3142	Est-ce que tu es sûr ?
44	那就表示有問題...	3143	Alors il y a un problème...
45	哦！有一隻蝴蝶！	3144	Oh, il y a un papillon !
46	趕快!	3145	Dépêche-toi !
47	如果我可以像那樣的話...	3147	Si je pouvais être comme ça...
48	你是在跟我開玩笑吧？！	3150	Est-ce que tu te fous de moi ? !
49	我長大後想當國王。	3153	Quand je serai grand, je veux être roi.
50	我好胖哦。	3155	Je suis si gros.
51	那又怎樣?	3156	Et alors ?
52	我要把他射下來。	3157	Je vais le descendre.
53	那是因為妳是女生。	3164	C'est parce que tu es une fille.
54	我会不高兴，但我不会自杀。	3175	Je serais malheureux, mais je ne me suiciderais pas.
55	以前讀高中的時候﹐我每天早上六點起床。	3176	À l'époque du lycée je me levais à 6h tous les matins.
56	你問這個幹什麼?	3184	Pourquoi demandes-tu ?
57	你待了多久?	3189	Combien de temps es-tu restée ?
58	我不知道它是从哪里来的。	3199	Je ne savais pas d'où ça venait.
59	這個不重要。	3201	Ce n'est pas important.
60	哪裡有問題?	3247	Où est le problème ?
61	不要再把我当成“正常” 人!	3313	Arrête de me considérer comme quelqu'un de « normal » !
62	所有被发明的都是真的。	3450	Tout ce qui est inventé est vrai.
63	感到惊讶、感到惊奇就是明白的开始。	3451	Se surprendre, s'étonner, c'est commencer à comprendre.
64	宇宙毫无疑问是无限的。	3452	Pas de doute : l'univers est infini.
65	要变得完美，她就是少了一个缺点。	3453	Il ne lui manquait qu'un seul défaut pour être parfaite.
66	然而，相反的理论往往也是真的。	3454	Et pourtant, le contraire aussi est toujours vrai.
67	我们看东西不是看其实质，而是以我们的主观意识看它们的。	3455	Nous ne voyons pas les choses comme elles sont, mais comme nous sommes.
